QtdDependentes,NivelDeEducacao,EstaEmpregado,RendaAnual,ValorDoEmprestimo,PeriodoDePagamento,ScoreCivil,ValorPossesImobiliarias,ValorPossesComerciais,ValorPossesLuxuosas,ValorPossesFinanceiras,StatusDoEmprestimo
0,0,1,-0.3113638996044959,-0.29796190439336895,8,417,-0.7305124515572027,-0.6227037058226488,-0.6734477274182631,-0.49359006941215006,0
3,1,0,1.5016597839407846,1.6635295339601186,20,506,-0.013423067196307422,-0.07565212799201856,2.053094707010354,2.505373564222685,0
3,1,0,1.175315520902634,1.7756147590088893,8,467,1.7955978797141328,-0.3610703425123473,0.9402202439782653,0.9585396900320858,0
5,0,1,1.7554830996371238,1.0470607961918796,20,382,0.8503436912384074,0.8043873667789951,1.6190736664278393,0.04306658081724149,0
0,1,1,-0.05754058390815663,-0.152251111829967,10,319,-0.062315525220913916,0.8281722179890226,-0.12813924053253972,0.07463461906602922,0
5,1,0,1.356617889257162,2.033410776621062,4,678,2.496389778066826,2.3741875466408033,1.5968161771671976,-0.17790968692427267,1
2,1,1,0.26880367912999387,0.015876725743189074,20,382,0.9807235793040247,0.20976608652831022,-0.33958538850863657,0.35874696330511885,0
0,1,1,-1.507959530744381,-1.418814154881076,20,782,-0.958677255672033,-0.9556916227630323,-1.3411724052375162,-1.345927102129419,1
5,0,0,-1.3991781097316642,-1.1834351822786575,10,388,-0.6490250215161919,-0.8129825155028679,-1.2855286820859118,-1.0302467196415415,0
4,1,1,-0.7464895836553632,-0.41004712944213967,2,547,0.1495517928857142,-0.028082425571963766,-0.5955465150060169,-0.5567261459097255,1
2,0,1,0.6314084158390499,0.8789329586187236,18,538,1.32297078547627,0.23355093773833763,0.6174866496989596,0.4850191163002698,0
3,0,1,0.014980363433654591,-0.36521303942263134,16,311,-0.12750546925372258,1.1373752837193787,-0.027980538859651745,-0.17790968692427267,0
2,1,1,1.5016597839407846,1.8652829390479058,14,679,0.5895839151071727,2.8023148684212966,0.6731303728505641,0.04306658081724149,1
1,0,0,-1.1090943203644192,-0.8359709846274683,6,469,-0.86089233962282,-0.8605522179229227,-0.9961813216975688,-0.9355426048951784,0
